scenario,reliability_score,verdict,js_distance,new_intents,turns_delta,ks_statistic,mean_conf_delta,low_conf_delta,fallback_delta,spike_detected,latency_delta_ms,attempts_delta,intent_coverage,transfer_delta,channel_js
baseline,100.0,Ready,0.0328,0,0.5075,0.022,-0.0019,0.0055,0.0,False,234.84,0.0015,1.0,0.0295,0.0202
mild_drift,85.2,Ready,0.1921,11,0.783,0.0765,-0.031,0.0505,0.0155,False,373.81,0.1335,1.0,0.035,0.0199
moderate_drift,65.1,Caution,0.3435,11,1.2435,0.2105,-0.0902,0.1405,0.034,False,594.67,0.4615,1.0,0.0795,0.0116
severe_drift,49.1,Not Ready,0.4654,11,1.739,0.328,-0.1506,0.25,0.046,True,842.72,0.7095,1.0,0.109,0.0145
